"Species";"Scientific_name"
"ANE";"Engraulis encrasicolus"
"ANK";"Lophius budegassa"
"ARA";"Aristeus antennatus"
"ARS";"Aristaeomorpha foliacea"
"BOG";"Boops boops"
"BON";"Sarda sarda"
"BPI";"Spicara maena"
"BRF";"Helicolenus dactylopterus"
"BSS";"Dicentrarchus labrax"
"CIL";"Citharus linguatula"
"COL";"Corallium rubrum"
"CTC";"Sepia officinalis"
"CTZ";"Chelidonichthys lastoviza"
"DGS";"Squalus acanthias"
"DOL";"Coryphaena hippurus"
"DPS";"Parapenaeus longirostris"
"EDT";"Eledone moschata"
"ELE";"Anguilla anguilla"
"EOI";"Eledone cirrhosa"
"GFB";"Phycis blennoides"
"GUG";"Eutrigla gurnardus"
"GUR";"Aspitrigla cuculus"
"GUU";"Chelidonichthys lucerna"
"HKE";"Merluccius merluccius"
"HMM";"Trachurus mediterraneus"
"HOM";"Trachurus trachurus"
"JAX";"Trachurus spp"
"JOD";"Zeus faber"
"JRS";"Raja asterias"
"LDB";"Lepidorhombus boscii"
"MAZ";"Scomber spp"
"MON";"Lophius piscatorius"
"MTS";"Squilla mantis"
"MUL";"Mugilidae"
"MUR";"Mullus surmuletus"
"MUT";"Mullus barbatus"
"NEP";"Nephrops norvegicus"
"OCC";"Octopus vulgaris"
"OCM";"Eledone spp"
"PAC";"Pagellus erythrinus"
"PIL";"Sardina pilchardus"
"POD";"Trisopterus minutus"
"RJC";"Raja clavata"
"RPG";"Pagrus pagrus"
"RPW";"Rapana venosa"
"RSE";"Scorpaena scrofa"
"SAA";"Sardinella aurita"
"SBA";"Pagellus acarne"
"SBG";"Sparus aurata"
"SBR";"Pagellus bogaraveo"
"SHO";"Galeus melastomus"
"SOL";"Solea solea"
"SPC";"Spicara smaris"
"SPR";"Sprattus sprattus"
"SQM";"Illex coindetii"
"SQR";"Loligo vulgaris"
"SRG";"Diplodus spp"
"SVE";"Chamelea gallina"
"SYC";"Scyliorhinus canicula"
"TGS";"Penaeus kerathurus"
"TUR";"Scophthalmus maximus"
"VMA";"Scomber colias"
"WHB";"Micromesistius poutassou"
"WHG";"Merlangius merlangus"
