flag_country,year,quarter,month,area,species,fishing_activity_category_national,fishing_activity_category_eu_l6,harbour,official_landings_weight,official_landings_value
ITA,2020,4,12,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,89707.57,543281.75
ITA,2020,4,12,GSA18,HKE,NK,PTM_SPF_>=20_0_0,NK,10,60.6
ITA,2020,4,10,GSA18,HKE,NK,PTM_SPF_>=20_0_0,NK,10,64
ITA,2020,3,8,GSA18,HKE,NK,PTM_SPF_>=20_0_0,NK,80,391.2
ITA,2020,2,6,GSA18,HKE,NK,PTM_SPF_>=20_0_0,NK,14,88.06
ITA,2020,2,5,GSA18,HKE,NK,PTM_SPF_>=20_0_0,NK,45,280.8
ITA,2020,2,4,GSA18,HKE,NK,PTM_SPF_>=20_0_0,NK,50,309.5
ITA,2020,1,3,GSA18,HKE,NK,PTM_SPF_>=20_0_0,NK,25,154.75
ITA,2020,1,2,GSA18,HKE,NK,PTM_SPF_>=20_0_0,NK,51,327.93
ITA,2020,1,1,GSA18,HKE,NK,PTM_SPF_>=20_0_0,NK,47,305.97
ITA,2020,4,12,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,4579.61,28137.97
ITA,2020,4,11,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,3239.39,18681.86
ITA,2020,4,10,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,2405.6,14360.32
ITA,2020,3,9,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,1611,8905.36
ITA,2020,3,8,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,8248.1,36491.98
ITA,2020,3,7,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,11087.85,59337.3
ITA,2020,2,6,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,8894.15,46112.74
ITA,2020,2,5,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,1560,8180.38
ITA,2020,2,4,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,983,5178.77
ITA,2020,1,3,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,1806,9151.32
ITA,2020,1,2,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,5188,26640.99
ITA,2020,1,1,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,6130,30137.16
ITA,2020,4,12,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,2125,12897.12
ITA,2020,4,11,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,571.5,3424.06
ITA,2020,4,10,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,799.5,4774.4
ITA,2020,3,9,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,643.44,3839.82
ITA,2020,3,8,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,3074.68,13540.25
ITA,2020,3,7,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,3102.09,16001.68
ITA,2020,2,6,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,116.3,623.64
ITA,2020,2,5,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,36,224.64
ITA,2020,2,4,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,126.58,615.85
ITA,2020,1,3,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,145,735.44
ITA,2020,1,2,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,325.42,1633.84
ITA,2020,1,1,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,484,2287.83
ITA,2020,4,11,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,98306.28,577346.91
ITA,2020,4,10,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,99670.15,597649.27
ITA,2020,3,9,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,61717.35,346516.78
ITA,2020,3,8,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,23484.85,94728.12
ITA,2020,3,7,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,73503.78,379017.92
ITA,2020,2,6,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,111410.87,579209.18
ITA,2020,2,5,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,94631.6,502652.4
ITA,2020,2,4,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,79893.38,412145.02
ITA,2020,1,3,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,65479.32,340418.83
ITA,2020,1,2,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,83080.05,432186.9
ITA,2020,1,1,GSA18,HKE,NK,OTB_DEF_>=40_0_0,NK,138284.95,698719.88
ITA,2020,4,12,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,11880,74278.26
ITA,2020,4,11,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,18530.4,115559.77
ITA,2020,4,10,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,17618.4,116931.83
ITA,2020,3,9,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,15750.2,97923.2
ITA,2020,3,8,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,20879.4,145848.32
ITA,2020,3,7,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,30446.5,207031.92
ITA,2020,2,6,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,39770.75,260839.82
ITA,2020,2,5,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,26743.51,180334.4
ITA,2020,2,4,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,31323.95,194661.08
ITA,2020,1,3,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,14948,100374.12
ITA,2020,1,2,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,15943.3,110220.06
ITA,2020,1,1,GSA18,HKE,NK,LLS_DEF_0_0_0,NK,20997.7,144683.07
ITA,2020,4,11,GSA18,HKE,NK,GTR_DEF_>=16_0_0,NK,361,2194.88
ITA,2020,4,10,GSA18,HKE,NK,GTR_DEF_>=16_0_0,NK,109,624.57
ITA,2020,3,9,GSA18,HKE,NK,GTR_DEF_>=16_0_0,NK,713,3365.36
ITA,2020,3,8,GSA18,HKE,NK,GTR_DEF_>=16_0_0,NK,34,174.76
ITA,2020,2,6,GSA18,HKE,NK,GTR_DEF_>=16_0_0,NK,37,268.25
ITA,2020,2,5,GSA18,HKE,NK,GTR_DEF_>=16_0_0,NK,37,271.21
ITA,2020,2,4,GSA18,HKE,NK,GTR_DEF_>=16_0_0,NK,56,280
ITA,2020,1,3,GSA18,HKE,NK,GTR_DEF_>=16_0_0,NK,9,46.62
ITA,2020,1,2,GSA18,HKE,NK,GTR_DEF_>=16_0_0,NK,19,93.29
ITA,2020,3,8,GSA18,HKE,NK,GNS_DEF_>=16_0_0,NK,124,775
ITA,2020,3,7,GSA18,HKE,NK,GNS_DEF_>=16_0_0,NK,333,2138.85
ITA,2020,2,6,GSA18,HKE,NK,GNS_DEF_>=16_0_0,NK,327,2351.13
ITA,2020,2,4,GSA18,HKE,NK,GNS_DEF_>=16_0_0,NK,20,111
ITA,2020,1,3,GSA18,HKE,NK,GNS_DEF_>=16_0_0,NK,5,26.5
ITA,2020,1,2,GSA18,HKE,NK,GNS_DEF_>=16_0_0,NK,36,187.42
ITA,2020,1,1,GSA18,HKE,NK,SV_DEF_0_0_0,NK,30,157.5
ITA,2019,3,8,GSA18,HKE,NK,MISC,NK,105,1108.28
ITA,2019,2,5,GSA18,HKE,NK,GNS_DEF_>=16_0_0,NK,50.32,555.19
ITA,2019,2,4,GSA18,HKE,NK,GNS_DEF_>=16_0_0,NK,25.16,285.33
ITA,2019,1,3,GSA18,HKE,NK,GNS_DEF_>=16_0_0,NK,17.46,180.41
ITA,2019,4,12,GSA18,HKE,NK,PTM_SPF_>=20_0_0,NK,75.43,350.07
ITA,2019,4,12,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,8507.22,40707.82
ITA,2019,4,11,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,3642.11,16746.78
ITA,2019,4,10,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,4932.85,22174.05
ITA,2019,3,9,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,3922.96,20002.21
ITA,2019,3,8,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,12302.04,54540.9
ITA,2019,3,7,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,14528.19,77706.42
ITA,2019,2,6,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,19506.24,101349.49
ITA,2019,2,5,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,7024.37,34928.28
ITA,2019,2,4,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,3953.77,21088.45
ITA,2019,1,3,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,45254.23,229942.24
ITA,2019,1,2,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,27910.46,143992.69
ITA,2019,1,1,GSA18,HKE,NK,OTB_MDD_>=40_0_0,NK,32878,144915.66
ITA,2019,4,12,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,602.98,2664.03
ITA,2019,4,11,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,324.82,1374.68
ITA,2019,4,10,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,209.25,977.3
ITA,2019,3,9,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,1152.19,5957.83
ITA,2019,3,8,GSA18,HKE,NK,OTB_DWS_>=40_0_0,NK,1066.25,5079.57
