vslflgctry,year,quarter,month,area,rect,subrect,focatnat,focateu5,focateu6,harbour,vsllencat,trpnum,fonum,fodur,effkwdays,effgtdays,daysatsea
ITA,2020,2,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL1218,6982,,,925056.91250000,130241.16700000,6978
ITA,2020,1,0,GSA18,NA,NA,DRB,NA,DRB_MOL_0_0_0,NA,VL0612,111,,,10314.12000000,958.30000000,111
ITA,2020,1,0,GSA18,NA,NA,DRB,NA,DRB_MOL_0_0_0,NA,VL1218,86,,,9108.91885200,1091.36695700,86
ITA,2020,1,0,GSA18,NA,NA,FPO,NA,FPO_DEF_>0_0_0,NA,VL0006,603,,,1449.17186700,481.00000000,481
ITA,2020,1,0,GSA18,NA,NA,FPO,NA,FPO_DEF_>0_0_0,NA,VL0612,4046,,,58506.13794000,5339.02325600,2766
ITA,2020,1,0,GSA18,NA,NA,GNS,NA,GNS_DEF_>=16_0_0,NA,VL0006,795,,,2027.63548200,673.00000000,673
ITA,2020,1,0,GSA18,NA,NA,GNS,NA,GNS_DEF_>=16_0_0,NA,VL0612,6377,,,97368.86581000,8994.80714000,4425
ITA,2020,1,0,GSA18,NA,NA,GNS,NA,GNS_DEF_>=16_0_0,NA,VL1218,19,,,2520.45394900,354.80434780,19
ITA,2020,1,0,GSA18,NA,NA,GNS,NA,GNS_SLP_>=16_0_0,NA,VL0612,5,,,105.75946840,9.65116279,5
ITA,2020,1,0,GSA18,NA,NA,GTR,NA,GTR_DEF_>=16_0_0,NA,VL0006,2706,,,7071.11512000,2347.00000000,2347
ITA,2020,1,0,GSA18,NA,NA,GTR,NA,GTR_DEF_>=16_0_0,NA,VL0612,924,,,15490.94028000,1414.49082000,731
ITA,2020,1,0,GSA18,NA,NA,LLD,NA,LLD_LPF_0_0_0,NA,VL1218,54,,,10758.15000000,965.25000000,54
ITA,2020,1,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL0612,406,,,6810.90976700,621.53488370,322
ITA,2020,1,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL1218,303,,,60365.17500000,5416.12500000,303
ITA,2020,1,0,GSA18,NA,NA,LLS,NA,LLS_DEF_0_0_0,NA,VL1824,1,,,294.00000000,38.00000000,1
ITA,2020,1,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL0612,195,,,6547.76728400,680.26071000,177
ITA,2020,1,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL1218,6384,,,845920.80410000,119125.68720000,6379
ITA,2020,1,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL1824,2095,,,591066.44560000,109377.04550000,2090
ITA,2020,1,0,GSA18,NA,NA,OTB,NA,OTB_DEF_>=40_0_0,NA,VL2440,342,,,126970.46000000,29095.90000000,341
