sampling_type,flag_country,year,trip_code,harbour,n_sets_hauls,days_at_sea,sampling_method,aggregation_level,station_number,duration_fishing_operation,initial_latitude,initial_longitude,final_latitude,final_longitude,depth_fishing_operation,water_depth,catch_registration,species_registration,date,area,fishing_activity_category_national,fishing_activity_category_eu_l6,species,catch_category,weight,subsample_weight,sex,maturity_method,maturity_scale,maturity_stage,ageing_method,age,length_code,length_class,number_at_length,commercial_size_category_scale,commercial_size_category,fish_id,individual_weight
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,220,1,ITA,LII,6013651,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,220,1,ITA,LII,6013652,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,205,1,ITA,LII,6013677,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,205,1,ITA,LII,6013678,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,M,Macr,Medits scales,2b,OWR,0,scm,220,1,ITA,LII,6013723,67
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,M,Macr,Medits scales,2b,OWR,0,scm,220,1,ITA,LII,6013724,607
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,190,1,ITA,LII,6013698,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,M,Macr,Medits scales,2b,OWR,0,scm,220,1,ITA,LII,6013725,727
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,F,Macr,Medits scales,1,OWR,2,scm,225,1,ITA,LII,6013726,765
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,F,Macr,Medits scales,1,OWR,25,scm,230,1,ITA,LII,6013727,826
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,190,1,ITA,LII,6013702,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,M,Macr,Medits scales,2c,OWR,0,scm,240,1,ITA,LII,6013729,906
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,235,1,ITA,LII,6013649,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013684,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013685,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,220,1,ITA,LII,6013653,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,220,1,ITA,LII,6013654,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,205,1,ITA,LII,6013679,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013680,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013681,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,195,1,ITA,LII,6013696,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,220,1,ITA,LII,6013657,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,195,1,ITA,LII,6013694,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,M,Macr,Medits scales,3,OWR,0,scm,235,1,ITA,LII,6013728,915
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,215,1,ITA,LII,6013660,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013687,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013683,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013689,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013686,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,220,1,ITA,LII,6013655,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013688,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,195,1,ITA,LII,6013695,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013690,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013682,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,220,1,ITA,LII,6013656,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013691,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,195,1,ITA,LII,6013693,0
S,ITA,2020,25668,ITMFR,10,2,SelfSampling,T,999,48,0,0,0,0,155,0,Lan,All,2020-05-20,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,30000,5000,N,Macr,Medits scales,0,OWR,0,scm,200,1,ITA,LII,6013692,0
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,2c,OWR,3,scm,300,1,ITA,LI,6013745,1736
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,2c,OWR,0,scm,270,1,ITA,LI,6013744,1413
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,2c,OWR,0,scm,235,1,ITA,LI,6013747,964
S,ITA,2020,25669,ITMFR,12,2,SelfSampling,T,999,48,0,0,0,0,180,0,All,All,2020-06-25,GSA18,,OTB_DEF_>=40_0_0,Merluccius merluccius,Lan,114240,5440,M,Macr,Medits scales,2c,OWR,0,scm,235,1,ITA,LI,6013748,963
