"Species";"Var.2";"ISSCAAP";"TAXOCODE";"Scientific_name";"English_name";"French_name";"Spanish_name";"Arabic_name";"Chinese_name";"Russian_name";"Author";"Family";"Order";"Stats_data"
"ANE";15;35;"1210600201";"Engraulis encrasicolus";"European anchovy";"Anchois";"Boquerón";"";"";"?????? ???????????";"(Linnaeus 1758)";"Engraulidae";"CLUPEIFORMES";"Yes"
"ANK";22;34;"1950100102";"Lophius budegassa";"Blackbellied angler";"Baudroie rousse";"Rape negro";"";"";"";"Spinola 1807";"Lophiidae";"LOPHIIFORMES";"Yes"
"ARA";3;45;"2280203101";"Aristeus antennatus";"Blue and red shrimp";"Crevette rouge";"Gamba rosada";"";"";"";"(Risso 1816)";"Aristaeidae";"NATANTIA";"Yes"
"ARS";2;45;"2280203001";"Aristaeomorpha foliacea";"Giant red shrimp";"Gambon rouge";"Gamba española";"";"";"";"(Risso 1827)";"Aristaeidae";"NATANTIA";"Yes"
"BOG";5;33;"1703926101";"Boops boops";"Bogue";"Bogue";"Boga";"";"";"????? ????????????";"(Linnaeus 1758)";"Sparidae";"PERCOIDEI";"Yes"
"BON";44;36;"1750100101";"Sarda sarda";"Atlantic bonito";"Bonite à dos rayé";"Bonito del Atlántico";"";"";"???????? ?????????????";"(Bloch 1793)";"Scombridae";"SCOMBROIDEI";"Yes"
"BPI";53;33;"1704007501";"Spicara maena";"Blotched picarel";"Mendole";"Chucla";"";"";"??????";"(Linnaeus 1758)";"Centracanthidae";"PERCOIDEI";"Yes"
"BRF";18;34;"1780101703";"Helicolenus dactylopterus";"Blackbelly rosefish";"Sébaste chèvre";"Gallineta";"";"";"";"(Delaroche 1809)";"Scorpaenidae";"SCORPAENIFORMES";"Yes"
"BSS";10;33;"1700634503";"Dicentrarchus labrax";"European seabass";"Bar européen";"Lubina";"";"";"";"(Linnaeus 1758)";"Moronidae";"PERCOIDEI";"Yes"
"CIL";7;31;"1830600101";"Citharus linguatula";"Spotted flounder";"Feuille";"Solleta";"";"";"";"(Linnaeus 1758)";"Citharidae";"PLEURONECTIFORMES";"Yes"
"COL";8;82;"6190100301";"Corallium rubrum";"Sardinia coral";"Corail Sardaigne";"Coral Cerdeña";"";"";"";"(Linnaeus 1758)";"Coralliidae";"ANTHOZOA";"Yes"
"CTC";50;57;"3210200202";"Sepia officinalis";"Common cuttlefish";"Seiche commune";"Sepia común";"";"";"";"Linnaeus 1758";"Sepiidae";"CEPHALOPODA";"Yes"
"CTZ";62;34;"1780200304";"Chelidonichthys lastoviza";"Streaked gurnard";"Grondin camard";"Rubio";"";"";"";"(Bonnaterre 1788)";"Triglidae";"SCORPAENIFORMES";"Yes"
"DGS";56;38;"1090100704";"Squalus acanthias";"Picked dogfish";"Aiguillat commun";"Mielga";"";"";"?????? (=????? ??????? ????????????)";"Linnaeus 1758";"Squalidae";"SQUALIFORMES";"Yes"
"DOL";9;37;"1702807101";"Coryphaena hippurus";"Common dolphinfish";"Coryphène commune";"Lampuga";"";"";"";"Linnaeus 1758";"Coryphaenidae";"PERCOIDEI";"Yes"
